Year,Month,India News-Based Policy Uncertainty Index
2016,1,70.279628167291
2016,2,99.2133895791589
2016,3,92.2008604325861
2016,4,47.3880048965953
2016,5,53.0130693362667
2016,6,144.266106546412
2016,7,78.0661164677979
2016,8,41.0142179537947
2016,9,32.8836883748151
2016,10,38.6867938971246
2016,11,72.8056455478486
2016,12,117.886247036632
2017,1,84.1265634479745
2017,2,137.400442184294
2017,3,65.6751944474559
2017,4,81.3338397459494
2017,5,39.2633640627024
2017,6,59.0698886342833
2017,7,62.0298812745198
2017,8,37.6894718236449
2017,9,78.0306426358192
2017,10,83.3947570050327
2017,11,62.9119815883151
2017,12,81.9884740392043
2018,1,39.4257395244772
2018,2,79.9093793789794
2018,3,42.0354316653714
2018,4,34.9231984807284
2018,5,37.5567602352244
2018,6,47.1657449313816
2018,7,63.247230257881
2018,8,77.7150710914331
2018,9,63.5094588646046
2018,10,63.9160555949606
2018,11,68.803186393858
2018,12,66.131683829575
2019,1,64.7383505776403
2019,2,50.1197755389969
2019,3,40.5851009916071
2019,4,60.4534234919378
2019,5,83.6425563450227
2019,6,72.8534417408068
2019,7,70.450837865467
2019,8,81.6747771703967
2019,9,105.544328070358
2019,10,90.6638782184606
2019,11,50.3646816346846
2019,12,106.035536078248
2020,1,48.1354309564976
2020,2,92.6491558263903
2020,3,110.098427906437
2020,4,160.821598976367
2020,5,167.750208203755
2020,6,75.146967161235
2020,7,107.753766957753
2020,8,115.057431403087
2020,9,82.274064942058
2020,10,95.4876360446671
2020,11,69.4967207810194
2020,12,69.8784982387199
2021,1,83.661264354253
2021,2,51.777391084572
2021,3,40.9323402681035
2021,4,78.9883188971004
2021,5,73.2438034026623
2021,6,58.3284570676896
2021,7,76.8572490470718
2021,8,69.1576442952256
2021,9,48.9196343655538
2021,10,39.946326399243
2021,11,23.3527560970787
2021,12,72.3253306889709
2022,1,70.0239900250974
2022,2,91.1966306627658
2022,3,120.698724674601
2022,4,90.1301028058034
2022,5,69.1161702673634
2022,6,65.4772946014238
2022,7,81.2920900980324
2022,8,72.4181142138871
2022,9,67.7402299923691
2022,10,90.5030243975471
2022,11,77.1262526894934
2022,12,78.0920883402008
2023,1,50.9748736477738
2023,2,126.749480846409
2023,3,72.3856247483252
2023,4,85.9707407893327
2023,5,48.4500812274023
2023,6,60.0600099479295
2023,7,55.6420037156723
2023,8,57.638164093582
2023,9,32.90940154634
2023,10,122.114043084113
2023,11,104.736271099399
2023,12,128.537213342564
2024,1,129.908850191799
2024,2,148.825502011812
2024,3,91.7222636823966
2024,4,137.175108908413
2024,5,83.0375564297678
2024,6,141.560187863094
2024,7,193.139180582882
2024,8,117.74303960599
2024,9,143.186973526687
2024,10,152.868724353709
2024,11,105.320829698216
2024,12,142.251396301369
2025,1,169.275588471256
2025,2,176.338045511722
2025,3,132.865670215075
2025,4,157.313533528776
2025,5,98.9615336174375
2025,6,145.557100296389
2025,7,81.7780926734226
2025,8,122.747604715237
2025,9,165.335169610351
2025,10,135.848448640418
2025,11,133.431929312287
2025,12,197.802478464299
