"Date","Price","Open","High","Low","Vol.","Change %"
"01-11-2022","13.8075","15.8025","16.8550","11.8750","","-12.62%"
"01-10-2022","15.8025","19.9675","21.6800","14.7900","","-20.86%"
"01-09-2022","19.9675","18.7000","22.8975","16.3925","","6.78%"
"01-08-2022","18.7000","16.5500","21.2050","15.8250","","12.99%"
"01-07-2022","16.5500","21.8400","22.4300","15.6575","","-24.22%"
"01-06-2022","21.8400","20.4775","28.1300","16.0025","","6.65%"
"01-05-2022","20.4775","19.4150","25.9900","17.0950","","5.47%"
"01-04-2022","19.4150","20.5600","21.7550","13.3500","","-5.57%"
"01-03-2022","20.5600","28.5700","30.8425","19.5900","","-28.04%"
"01-02-2022","28.5700","21.9525","33.9725","16.8000","","30.14%"
"01-01-2022","21.9525","16.2225","24.1375","15.0875","","35.32%"
"01-12-2021","16.2225","21.1675","22.9650","13.7600","","-23.36%"
"01-11-2021","21.1675","17.4250","23.8200","12.0800","","21.48%"
"01-10-2021","17.4250","18.4025","19.6400","12.2300","","-5.31%"
"01-09-2021","18.4025","14.5200","19.4350","9.0250","","26.74%"
"01-08-2021","14.5200","12.8025","14.7650","9.9825","","13.42%"
"01-07-2021","12.8025","13.0450","15.9800","10.3950","","-1.86%"
"01-06-2021","13.0450","16.8850","17.9625","10.6000","","-22.74%"
"01-05-2021","16.8850","23.0275","24.5400","16.4325","","-26.67%"
"01-04-2021","23.0275","20.6450","23.7650","18.2450","","11.54%"
"01-03-2021","20.6450","28.1425","28.1425","16.6825","","-26.64%"
"01-02-2021","28.1425","25.3425","29.6450","19.3450","","11.05%"
"01-01-2021","25.3425","21.0950","25.9900","17.3800","","20.14%"
"01-12-2020","21.0950","19.8175","24.4800","14.0525","","6.45%"
"01-11-2020","19.8175","24.7525","29.5250","15.7200","","-19.94%"
"01-10-2020","24.7525","19.5300","26.3000","15.4650","","26.74%"
"01-09-2020","19.5300","22.8350","23.8175","15.7550","","-14.47%"
"01-08-2020","22.8350","24.1925","25.6900","14.8850","","-5.61%"
"01-07-2020","24.1925","29.1175","29.1625","22.0900","","-16.91%"
"01-06-2020","29.1175","30.2200","35.3125","25.9200","","-3.65%"
"01-05-2020","30.2200","33.9875","43.9200","26.3350","","-11.08%"
"01-04-2020","33.9875","64.4075","64.4075","31.4825","","-47.23%"
"01-03-2020","64.4075","23.2350","86.6350","19.9200","","177.20%"
"01-02-2020","23.2350","17.3675","23.6975","10.1650","","33.78%"
"01-01-2020","17.3675","11.6675","17.6150","10.6850","","48.85%"
"01-12-2019","11.6675","13.8975","16.3425","9.6175","","-16.05%"
"01-11-2019","13.8975","16.2800","16.7650","11.6075","","-14.63%"
"01-10-2019","16.2800","15.8725","18.4275","13.5725","","2.57%"
"01-09-2019","15.8725","16.2825","18.5325","13.2775","","-2.52%"
"01-08-2019","16.2825","13.5900","19.1450","13.2725","","19.81%"
"01-07-2019","13.5900","14.9525","15.0200","9.1625","","-9.11%"
"01-06-2019","14.9525","16.0675","16.2325","10.6025","","-6.94%"
"01-05-2019","16.0675","21.8275","30.1825","13.4800","","-26.39%"
"01-04-2019","21.8275","17.1850","26.3175","16.5500","","27.01%"
"01-03-2019","17.1850","18.2775","18.2775","11.8450","","-5.98%"
"01-02-2019","18.2775","17.1225","19.9775","11.7000","","6.75%"
"01-01-2019","17.1225","16.0000","19.7950","12.0150","","7.02%"
"01-12-2018","16.0000","19.1625","20.6450","11.8700","","-16.50%"
"01-11-2018","19.1625","19.7975","20.5275","13.5150","","-3.21%"
"01-10-2018","19.7975","16.9950","22.8150","14.2800","","16.49%"
"01-09-2018","16.9950","12.5975","18.3100","10.9825","","34.91%"
"01-08-2018","12.5975","12.4800","13.8650","9.4300","","0.94%"
"01-07-2018","12.4800","12.9375","13.9425","10.0150","","-3.54%"
"01-06-2018","12.9375","13.2225","15.4700","9.7400","","-2.16%"
"01-05-2018","13.2225","12.3625","14.9425","10.8550","","6.96%"
"01-04-2018","12.3625","15.7575","16.4850","9.7425","","-21.55%"
"01-03-2018","15.7575","13.8050","16.4600","11.2950","","14.14%"
"01-02-2018","13.8050","15.9300","24.0350","11.4975","","-13.34%"
"01-01-2018","15.9300","12.6700","18.4950","10.3450","","25.73%"
"01-12-2017","12.6700","13.5500","18.2575","10.1600","","-6.49%"
"01-11-2017","13.5500","12.4400","15.6050","11.0100","","8.92%"
"01-10-2017","12.4400","12.4850","12.9375","10.0325","","-0.36%"
"01-09-2017","12.4850","11.9525","14.1650","9.2575","","4.46%"
"01-08-2017","11.9525","11.9000","15.5425","10.4850","","0.44%"
"01-07-2017","11.9000","11.7325","12.0325","9.0075","","1.43%"
"01-06-2017","11.7325","11.7625","12.8675","8.7550","","-0.26%"
"01-05-2017","11.7625","10.8600","12.7850","8.8350","","8.31%"
"01-04-2017","10.8600","12.4200","12.7575","9.9175","","-12.56%"
"01-03-2017","12.4200","13.7925","14.7825","10.3875","","-9.95%"
"01-02-2017","13.7925","16.8250","17.4275","11.0600","","-18.02%"
"01-01-2017","16.8250","15.4650","17.0900","13.3750","","8.79%"
"01-12-2016","15.4650","16.8500","18.2950","12.6125","","-8.22%"
"01-11-2016","16.8500","15.4900","23.0925","14.1675","","8.78%"
"01-10-2016","15.4900","17.1800","17.1800","12.4325","","-9.84%"
"01-09-2016","17.1800","13.2425","19.1250","11.9475","","29.73%"
"01-08-2016","13.2425","14.9175","16.4450","10.9275","","-11.23%"
"01-07-2016","14.9175","16.2900","16.3575","12.5925","","-8.43%"
"01-06-2016","16.2900","16.0450","21.0500","13.3150","","1.53%"
"01-05-2016","16.0450","16.5375","18.0825","14.1950","","-2.98%"
"01-04-2016","16.5375","16.5825","18.1675","13.5500","","-0.27%"
"01-03-2016","16.5825","20.1575","20.1575","13.6950","","-17.74%"
"01-02-2016","20.1575","17.2400","26.8700","16.4875","","16.92%"
"01-01-2016","17.2400","13.8700","22.1075","13.1050","","24.30%"
